NUM,MNEMONICO,OPCODE,Ciclo,Byte
1,aba,-- ,-- ,-- 
2,abx,-- ,-- ,-- 
3,aby,-- ,-- ,-- 
4,adca,99,3,2
5,adcb,D9,3,2
6,adda,9B,3,2
7,addb,DB,3,2
8,addd,D3,5,2
9,anda,94,3,2
10,andb,D4,3,2
11,asl,-- ,-- ,-- 
12,asla,-- ,-- ,-- 
13,aslb,-- ,-- ,-- 
14,asld,-- ,-- ,-- 
15,asr,-- ,-- ,-- 
16,asra,-- ,-- ,-- 
17,asrb,-- ,-- ,-- 
18,bcc,-- ,-- ,-- 
19,bclr,15,6,3
20,bcs,-- ,-- ,-- 
21,beq,-- ,-- ,-- 
22,bge,-- ,-- ,-- 
23,bgt,-- ,-- ,-- 
24,bhi,-- ,-- ,-- 
25,bhs,-- ,-- ,-- 
26,bita,95,3,2
27,bitb,D5,3,2
28,ble,-- ,-- ,-- 
29,blo,-- ,-- ,-- 
30,bls,-- ,-- ,-- 
31,blt,-- ,-- ,-- 
32,bmi,-- ,-- ,-- 
33,bne,-- ,-- ,-- 
34,bpl,-- ,-- ,-- 
35,bra,-- ,-- ,-- 
36,brclr,13,6,4
37,brn,-- ,-- ,-- 
38,brset,12,6,4
39,bset,14,6,3
40,bsr,-- ,-- ,-- 
41,bvc,-- ,-- ,-- 
42,bvs,-- ,-- ,-- 
43,cba,-- ,-- ,-- 
44,clc,-- ,-- ,-- 
45,cli,-- ,-- ,-- 
46,clr,-- ,-- ,-- 
47,clra,-- ,-- ,-- 
48,clrb,-- ,-- ,-- 
49,clv,-- ,-- ,-- 
50,cmpa,91,3,2
51,cmpb,D1,3,2
52,com,-- ,-- ,-- 
53,coma,-- ,-- ,-- 
54,comb,-- ,-- ,-- 
55,cpd,1A 93,6,3
56,cpx,9C,5,2
57,cpy,18 9C,6,3
58,daa,-- ,-- ,-- 
59,dec,-- ,-- ,-- 
60,deca,-- ,-- ,-- 
61,decb,-- ,-- ,-- 
62,des,-- ,-- ,-- 
63,dex,-- ,-- ,-- 
64,dey,-- ,-- ,-- 
65,eora,98,3,2
66,eorb,D8,3,2
67,fdiv,-- ,-- ,-- 
68,idiv,-- ,-- ,-- 
69,inc,-- ,-- ,-- 
70,inca,-- ,-- ,-- 
71,incb,-- ,-- ,-- 
72,ins,-- ,-- ,-- 
73,inx,-- ,-- ,-- 
74,iny,-- ,-- ,-- 
75,jmp,-- ,-- ,-- 
76,jsr,9D,5,2
77,ldaa,96,3,2
78,ldab,D6,3,2
79,ldd,DC,4,2
80,lds,9E,4,2
81,ldx,DE,4,2
82,ldy,18 DE,5,3
83,lsl,-- ,-- ,-- 
84,lsla,-- ,-- ,-- 
85,lslb,-- ,-- ,-- 
86,lsld,-- ,-- ,-- 
87,lsr,-- ,-- ,-- 
88,lsra,-- ,-- ,-- 
89,lsrb,-- ,-- ,-- 
90,lsrd,-- ,-- ,-- 
91,mul,-- ,-- ,-- 
92,neg,-- ,-- ,-- 
93,nega,-- ,-- ,-- 
94,negb,-- ,-- ,-- 
95,nop,-- ,-- ,-- 
96,oraa,9A,3,2
97,orab,DA,3,2
98,psha,-- ,-- ,-- 
99,pshb,-- ,-- ,-- 
100,pshx,-- ,-- ,-- 
101,pshy,-- ,-- ,-- 
102,pula,-- ,-- ,-- 
103,pulb,-- ,-- ,-- 
104,pulx,-- ,-- ,-- 
105,puly,-- ,-- ,-- 
106,rol,-- ,-- ,-- 
107,rola,-- ,-- ,-- 
108,rolb,-- ,-- ,-- 
109,ror,-- ,-- ,-- 
110,rora,-- ,-- ,-- 
111,rorb,-- ,-- ,-- 
112,rti,-- ,-- ,-- 
113,rts,-- ,-- ,-- 
114,sba,-- ,-- ,-- 
115,sbca,92,3,2
116,sbcb,D2,3,2
117,sec,-- ,-- ,-- 
118,sei,-- ,-- ,-- 
119,sev,-- ,-- ,-- 
120,staa,97,3,2
121,stab,D7,3,2
122,std,DD,4,2
123,stop,-- ,-- ,-- 
124,sts,9F,4,2
125,stx,DF,4,2
126,sty,18 DF,5,3
127,suba,90,3,2
128,subb,D0,3,2
129,subd,93,5,2
130,swi,-- ,-- ,-- 
131,tab,-- ,-- ,-- 
132,tap,-- ,-- ,-- 
133,tba,-- ,-- ,-- 
134,tets,-- ,-- ,-- 
135,tpa,-- ,-- ,-- 
136,tst,-- ,-- ,-- 
137,tsta,-- ,-- ,-- 
138,tstb,-- ,-- ,-- 
139,tsx,-- ,-- ,-- 
140,tsy,-- ,-- ,-- 
141,txs,-- ,-- ,-- 
142,tys,-- ,-- ,-- 
143,wai,-- ,-- ,-- 
144,xgdx,-- ,-- ,-- 
145,xgdy,-- ,-- ,-- 
