NUM,MNEMONICO,OPCODE,Ciclo,Byte
1,aba,-- ,-- ,-- 
2,abx,-- ,-- ,-- 
3,aby,-- ,-- ,-- 
4,adca,B9,4,3
5,adcb,F9,4,3
6,adda,BB,4,3
7,addb,FB,4,3
8,addd,F3,6,3
9,anda,B4,4,3
10,andb,F4,4,3
11,asl,78,6,3
12,asla,-- ,-- ,-- 
13,aslb,-- ,-- ,-- 
14,asld,-- ,-- ,-- 
15,asr,77,6,3
16,asra,-- ,-- ,-- 
17,asrb,-- ,-- ,-- 
18,bcc,-- ,-- ,-- 
19,bclr,-- ,-- ,-- 
20,bcs,-- ,-- ,-- 
21,beq,-- ,-- ,-- 
22,bge,-- ,-- ,-- 
23,bgt,-- ,-- ,-- 
24,bhi,-- ,-- ,-- 
25,bhs,-- ,-- ,-- 
26,bita,B5,4,3
27,bitb,F5,4,3
28,ble,-- ,-- ,-- 
29,blo,-- ,-- ,-- 
30,bls,-- ,-- ,-- 
31,blt,-- ,-- ,-- 
32,bmi,-- ,-- ,-- 
33,bne,-- ,-- ,-- 
34,bpl,-- ,-- ,-- 
35,bra,-- ,-- ,-- 
36,brclr,-- ,-- ,-- 
37,brn,-- ,-- ,-- 
38,brset,-- ,-- ,-- 
39,bset,-- ,-- ,-- 
40,bsr,-- ,-- ,-- 
41,bvc,-- ,-- ,-- 
42,bvs,-- ,-- ,-- 
43,cba,-- ,-- ,-- 
44,clc,-- ,-- ,-- 
45,cli,-- ,-- ,-- 
46,clr,7F,6,3
47,clra,-- ,-- ,-- 
48,clrb,-- ,-- ,-- 
49,clv,-- ,-- ,-- 
50,cmpa,B1,4,3
51,cmpb,F1,4,3
52,com,73,6,3
53,coma,-- ,-- ,-- 
54,comb,-- ,-- ,-- 
55,cpd,1A B3,7,4
56,cpx,BC,6,3
57,cpy,18 BC,7,4
58,daa,-- ,-- ,-- 
59,dec,7A,6,3
60,deca,-- ,-- ,-- 
61,decb,-- ,-- ,-- 
62,des,-- ,-- ,-- 
63,dex,-- ,-- ,-- 
64,dey,-- ,-- ,-- 
65,eora,B8,4,3
66,eorb,F8,4,3
67,fdiv,-- ,-- ,-- 
68,idiv,-- ,-- ,-- 
69,inc,7C,6,3
70,inca,-- ,-- ,-- 
71,incb,-- ,-- ,-- 
72,ins,-- ,-- ,-- 
73,inx,-- ,-- ,-- 
74,iny,-- ,-- ,-- 
75,jmp,7E,3,3
76,jsr,BD,6,3
77,ldaa,B6,4,3
78,ldab,F6,4,3
79,ldd,FC,5,3
80,lds,BE,5,3
81,ldx,FE,5,3
82,ldy,18 FE,6,4
83,lsl,78,6,3
84,lsla,-- ,-- ,-- 
85,lslb,-- ,-- ,-- 
86,lsld,-- ,-- ,-- 
87,lsr,74,6,3
88,lsra,-- ,-- ,-- 
89,lsrb,-- ,-- ,-- 
90,lsrd,-- ,-- ,-- 
91,mul,-- ,-- ,-- 
92,neg,70,6,3
93,nega,-- ,-- ,-- 
94,negb,-- ,-- ,-- 
95,nop,-- ,-- ,-- 
96,oraa,BA,4,3
97,orab,FA,4,3
98,psha,-- ,-- ,-- 
99,pshb,-- ,-- ,-- 
100,pshx,-- ,-- ,-- 
101,pshy,-- ,-- ,-- 
102,pula,-- ,-- ,-- 
103,pulb,-- ,-- ,-- 
104,pulx,-- ,-- ,-- 
105,puly,-- ,-- ,-- 
106,rol,79,6,3
107,rola,-- ,-- ,-- 
108,rolb,-- ,-- ,-- 
109,ror,76,6,3
110,rora,-- ,-- ,-- 
111,rorb,-- ,-- ,-- 
112,rti,-- ,-- ,-- 
113,rts,-- ,-- ,-- 
114,sba,-- ,-- ,-- 
115,sbca,B2,4,3
116,sbcb,F2,4,3
117,sec,-- ,-- ,-- 
118,sei,-- ,-- ,-- 
119,sev,-- ,-- ,-- 
120,staa,B7,4,3
121,stab,F7,4,3
122,std,FD,5,3
123,stop,-- ,-- ,-- 
124,sts,BF,5,3
125,stx,FF,5,3
126,sty,FF,6,4
127,suba,B0,4,3
128,subb,F0,4,3
129,subd,B3,6,3
130,swi,-- ,-- ,-- 
131,tab,-- ,-- ,-- 
132,tap,-- ,-- ,-- 
133,tba,-- ,-- ,-- 
134,tets,-- ,-- ,-- 
135,tpa,-- ,-- ,-- 
136,tst,7D,6,3
137,tsta,-- ,-- ,-- 
138,tstb,-- ,-- ,-- 
139,tsx,-- ,-- ,-- 
140,tsy,-- ,-- ,-- 
141,txs,-- ,-- ,-- 
142,tys,-- ,-- ,-- 
143,wai,-- ,-- ,-- 
144,xgdx,-- ,-- ,-- 
145,xgdy,-- ,-- ,-- 
