NUM,MNEMONICO,OPCODE,Ciclo,Byte
1,aba,-- ,-- ,-- 
2,abx,-- ,-- ,-- 
3,aby,-- ,-- ,-- 
4,adca,A9,4,2
5,adcb,E9,4,2
6,adda,AB,4,2
7,addb,EB,4,2
8,addd,E3,6,2
9,anda,B4,4,2
10,andb,E4,4,2
11,asl,68,6,2
12,asla,-- ,-- ,-- 
13,aslb,-- ,-- ,-- 
14,asld,-- ,-- ,-- 
15,asr,67,6,2
16,asra,-- ,-- ,-- 
17,asrb,-- ,-- ,-- 
18,bcc,-- ,-- ,-- 
19,bclr,1D,7,3
20,bcs,-- ,-- ,-- 
21,beq,-- ,-- ,-- 
22,bge,-- ,-- ,-- 
23,bgt,-- ,-- ,-- 
24,bhi,-- ,-- ,-- 
25,bhs,-- ,-- ,-- 
26,bita,A5,4,2
27,bitb,E5,4,2
28,ble,-- ,-- ,-- 
29,blo,-- ,-- ,-- 
30,bls,-- ,-- ,-- 
31,blt,-- ,-- ,-- 
32,bmi,-- ,-- ,-- 
33,bne,-- ,-- ,-- 
34,bpl,-- ,-- ,-- 
35,bra,-- ,-- ,-- 
36,brclr,1F,7,4
37,brn,-- ,-- ,-- 
38,brset,1E,7,4
39,bset,1C,7,3
40,bsr,-- ,-- ,-- 
41,bvc,-- ,-- ,-- 
42,bvs,-- ,-- ,-- 
43,cba,-- ,-- ,-- 
44,clc,-- ,-- ,-- 
45,cli,-- ,-- ,-- 
46,clr,6F,6,2
47,clra,-- ,-- ,-- 
48,clrb,-- ,-- ,-- 
49,clv,-- ,-- ,-- 
50,cmpa,A1,4,2
51,cmpb,E1,4,2
52,com,63,6,2
53,coma,-- ,-- ,-- 
54,comb,-- ,-- ,-- 
55,cpd,1A A3,7,3
56,cpx,AC,6,2
57,cpy,1A AC,7,3
58,daa,-- ,-- ,-- 
59,dec,6A,6,2
60,deca,-- ,-- ,-- 
61,decb,-- ,-- ,-- 
62,des,-- ,-- ,-- 
63,dex,-- ,-- ,-- 
64,dey,-- ,-- ,-- 
65,eora,A8,4,2
66,eorb,E8,4,2
67,fdiv,-- ,-- ,-- 
68,idiv,-- ,-- ,-- 
69,inc,6C,6,2
70,inca,-- ,-- ,-- 
71,incb,-- ,-- ,-- 
72,ins,-- ,-- ,-- 
73,inx,-- ,-- ,-- 
74,iny,-- ,-- ,-- 
75,jmp,6E,3,2
76,jsr,AD,6,2
77,ldaa,A6,4,2
78,ldab,E6,4,2
79,ldd,EC,5,2
80,lds,AE,5,2
81,ldx,EE,5,2
82,ldy,1A EE,6,3
83,lsl,68,6,2
84,lsla,-- ,-- ,-- 
85,lslb,-- ,-- ,-- 
86,lsld,-- ,-- ,-- 
87,lsr,64,6,2
88,lsra,-- ,-- ,-- 
89,lsrb,-- ,-- ,-- 
90,lsrd,-- ,-- ,-- 
91,mul,-- ,-- ,-- 
92,neg,60,6,2
93,nega,-- ,-- ,-- 
94,negb,-- ,-- ,-- 
95,nop,-- ,-- ,-- 
96,oraa,AA,4,2
97,orab,EA,4,2
98,psha,-- ,-- ,-- 
99,pshb,-- ,-- ,-- 
100,pshx,-- ,-- ,-- 
101,pshy,-- ,-- ,-- 
102,pula,-- ,-- ,-- 
103,pulb,-- ,-- ,-- 
104,pulx,-- ,-- ,-- 
105,puly,-- ,-- ,-- 
106,rol,69,6,2
107,rola,-- ,-- ,-- 
108,rolb,-- ,-- ,-- 
109,ror,66,6,2
110,rora,-- ,-- ,-- 
111,rorb,-- ,-- ,-- 
112,rti,-- ,-- ,-- 
113,rts,-- ,-- ,-- 
114,sba,-- ,-- ,-- 
115,sbca,A2,4,2
116,sbcb,E2,4,2
117,sec,-- ,-- ,-- 
118,sei,-- ,-- ,-- 
119,sev,-- ,-- ,-- 
120,staa,A7,4,2
121,stab,E7,4,2
122,std,ED,5,2
123,stop,-- ,-- ,-- 
124,sts,AF,5,2
125,stx,EF,5,2
126,sty,1A EF,6,3
127,suba,A0,4,2
128,subb,E0,4,2
129,subd,A3,6,2
130,swi,-- ,-- ,-- 
131,tab,-- ,-- ,-- 
132,tap,-- ,-- ,-- 
133,tba,-- ,-- ,-- 
134,tets,-- ,-- ,-- 
135,tpa,-- ,-- ,-- 
136,tst,6D,6,2
137,tsta,-- ,-- ,-- 
138,tstb,-- ,-- ,-- 
139,tsx,-- ,-- ,-- 
140,tsy,-- ,-- ,-- 
141,txs,-- ,-- ,-- 
142,tys,-- ,-- ,-- 
143,wai,-- ,-- ,-- 
144,xgdx,-- ,-- ,-- 
145,xgdy,-- ,-- ,-- 
