NUM,MNEMONICO,OPCODE,Ciclo,Byte
1,aba,-- ,-- ,-- 
2,abx,-- ,-- ,-- 
3,aby,-- ,-- ,-- 
4,adca,89,2,2
5,adcb,C9,2,2
6,adda,8B,2,2
7,addb,CB,2,2
8,addd,C3,4,3
9,anda,84,2,2
10,andb,C4,2,2
11,asl,-- ,-- ,-- 
12,asla,-- ,-- ,-- 
13,aslb,-- ,-- ,-- 
14,asld,-- ,-- ,-- 
15,asr,-- ,-- ,-- 
16,asra,-- ,-- ,-- 
17,asrb,-- ,-- ,-- 
18,bcc,-- ,-- ,-- 
19,bclr,-- ,-- ,-- 
20,bcs,-- ,-- ,-- 
21,beq,-- ,-- ,-- 
22,bge,-- ,-- ,-- 
23,bgt,-- ,-- ,-- 
24,bhi,-- ,-- ,-- 
25,bhs,-- ,-- ,-- 
26,bita,85,2,2
27,bitb,C5,2,2
28,ble,-- ,-- ,-- 
29,blo,-- ,-- ,-- 
30,bls,-- ,-- ,-- 
31,blt,-- ,-- ,-- 
32,bmi,-- ,-- ,-- 
33,bne,-- ,-- ,-- 
34,bpl,-- ,-- ,-- 
35,bra,-- ,-- ,-- 
36,brclr,-- ,-- ,-- 
37,brn,-- ,-- ,-- 
38,brset,-- ,-- ,-- 
39,bset,-- ,-- ,-- 
40,bsr,-- ,-- ,-- 
41,bvc,-- ,-- ,-- 
42,bvs,-- ,-- ,-- 
43,cba,-- ,-- ,-- 
44,clc,-- ,-- ,-- 
45,cli,-- ,-- ,-- 
46,clr,-- ,-- ,-- 
47,clra,-- ,-- ,-- 
48,clrb,-- ,-- ,-- 
49,clv,-- ,-- ,-- 
50,cmpa,81,2,2
51,cmpb,C1,2,2
52,com,-- ,-- ,-- 
53,coma,-- ,-- ,-- 
54,comb,-- ,-- ,-- 
55,cpd,1A 83,5,4
56,cpx,8C,4,3
57,cpy,18 8C,5,4
58,daa,-- ,-- ,-- 
59,dec,-- ,-- ,-- 
60,deca,-- ,-- ,-- 
61,decb,-- ,-- ,-- 
62,des,-- ,-- ,-- 
63,dex,-- ,-- ,-- 
64,dey,-- ,-- ,-- 
65,eora,88,2,2
66,eorb,C8,2,2
67,fdiv,-- ,-- ,-- 
68,idiv,-- ,-- ,-- 
69,inc,-- ,-- ,-- 
70,inca,-- ,-- ,-- 
71,incb,-- ,-- ,-- 
72,ins,-- ,-- ,-- 
73,inx,-- ,-- ,-- 
74,iny,-- ,-- ,-- 
75,jmp,-- ,-- ,-- 
76,jsr,-- ,-- ,-- 
77,ldaa,86,2,2
78,ldab,C6,2,2
79,ldd,CC,3,3
80,lds,8E,3,3
81,ldx,CE,3,3
82,ldy,18 CE,4,4
83,lsl,-- ,-- ,-- 
84,lsla,-- ,-- ,-- 
85,lslb,-- ,-- ,-- 
86,lsld,-- ,-- ,-- 
87,lsr,-- ,-- ,-- 
88,lsra,-- ,-- ,-- 
89,lsrb,-- ,-- ,-- 
90,lsrd,-- ,-- ,-- 
91,mul,-- ,-- ,-- 
92,neg,-- ,-- ,-- 
93,nega,-- ,-- ,-- 
94,negb,-- ,-- ,-- 
95,nop,-- ,-- ,-- 
96,oraa,8A,2,2
97,orab,CA,2,2
98,psha,-- ,-- ,-- 
99,pshb,-- ,-- ,-- 
100,pshx,-- ,-- ,-- 
101,pshy,-- ,-- ,-- 
102,pula,-- ,-- ,-- 
103,pulb,-- ,-- ,-- 
104,pulx,-- ,-- ,-- 
105,puly,-- ,-- ,-- 
106,rol,-- ,-- ,-- 
107,rola,-- ,-- ,-- 
108,rolb,-- ,-- ,-- 
109,ror,-- ,-- ,-- 
110,rora,-- ,-- ,-- 
111,rorb,-- ,-- ,-- 
112,rti,-- ,-- ,-- 
113,rts,-- ,-- ,-- 
114,sba,-- ,-- ,-- 
115,sbca,82,2,2
116,sbcb,C2,2,2
117,sec,-- ,-- ,-- 
118,sei,-- ,-- ,-- 
119,sev,-- ,-- ,-- 
120,staa,-- ,-- ,-- 
121,stab,-- ,-- ,-- 
122,std,-- ,-- ,-- 
123,stop,-- ,-- ,-- 
124,sts,-- ,-- ,-- 
125,stx,-- ,-- ,-- 
126,sty,-- ,-- ,-- 
127,suba,80,2,2
128,subb,C0,2,2
129,subd,83,4,3
130,swi,-- ,-- ,-- 
131,tab,-- ,-- ,-- 
132,tap,-- ,-- ,-- 
133,tba,-- ,-- ,-- 
134,tets,-- ,-- ,-- 
135,tpa,-- ,-- ,-- 
136,tst,-- ,-- ,-- 
137,tsta,-- ,-- ,-- 
138,tstb,-- ,-- ,-- 
139,tsx,-- ,-- ,-- 
140,tsy,-- ,-- ,-- 
141,txs,-- ,-- ,-- 
142,tys,-- ,-- ,-- 
143,wai,-- ,-- ,-- 
144,xgdx,-- ,-- ,-- 
145,xgdy,-- ,-- ,-- 
